"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JINDRILL","EQ","27-Dec-2021","        127.35","        126.00","        127.95","        125.00","        125.80","        126.05","        126.61","       8190","             1036906.65","        392","       4324","         52.80"
"JINDRILL","EQ","28-Dec-2021","        126.05","        132.70","        132.70","        127.10","        130.25","        129.15","        129.19","      26062","             3367069.95","        803","       8714","         33.44"
"JINDRILL","EQ","29-Dec-2021","        129.15","        129.80","        132.50","        126.95","        127.10","        128.25","        130.17","      32520","             4233036.20","        939","      18708","         57.53"
"JINDRILL","EQ","30-Dec-2021","        128.25","        128.70","        134.25","        127.20","        129.70","        130.15","        131.30","      65126","             8551288.25","       1604","      25687","         39.44"
"JINDRILL","EQ","31-Dec-2021","        130.15","        130.50","        137.95","        129.65","        132.40","        131.75","        134.81","      97320","            13120017.50","       2287","      39270","         40.35"
"JINDRILL","EQ","03-Jan-2022","        131.75","        131.75","        143.05","        131.25","        138.25","        139.45","        138.49","     108163","            14979436.55","       2970","      66690","         61.66"
"JINDRILL","EQ","04-Jan-2022","        139.45","        142.00","        142.00","        134.00","        136.70","        136.75","        137.04","      46670","             6395792.95","       2220","      21104","         45.22"
"JINDRILL","EQ","05-Jan-2022","        136.75","        138.00","        139.95","        135.55","        136.10","        137.25","        138.13","      62878","             8685605.00","       1948","      29339","         46.66"
"JINDRILL","EQ","06-Jan-2022","        137.25","        136.10","        149.00","        134.00","        143.00","        143.50","        144.86","     259903","            37648767.00","       6493","     103670","         39.89"
"JINDRILL","EQ","07-Jan-2022","        143.50","        145.30","        148.20","        141.00","        143.00","        142.50","        145.17","      76746","            11141193.15","       2797","      37523","         48.89"
"JINDRILL","EQ","10-Jan-2022","        142.50","        142.50","        147.00","        142.50","        144.50","        144.90","        144.95","      71352","            10342686.30","       2067","      37828","         53.02"
"JINDRILL","EQ","11-Jan-2022","        144.90","        146.00","        171.40","        143.80","        164.80","        165.00","        163.02","    1092672","           178123575.95","      29617","     354535","         32.45"
"JINDRILL","EQ","12-Jan-2022","        165.00","        173.70","        173.70","        156.25","        160.35","        159.15","        166.62","     387434","            64556033.45","      20431","     173220","         44.71"
"JINDRILL","EQ","13-Jan-2022","        159.15","        160.70","        161.90","        156.25","        157.70","        157.35","        159.39","      84058","            13398097.40","       3648","      42570","         50.64"
"JINDRILL","EQ","14-Jan-2022","        157.35","        157.30","        167.05","        157.30","        160.00","        160.00","        161.69","     106915","            17287450.25","       4086","      53094","         49.66"
"JINDRILL","EQ","17-Jan-2022","        160.00","        160.00","        165.00","        160.00","        161.60","        161.50","        162.33","     119921","            19466939.30","       3331","      63542","         52.99"
"JINDRILL","EQ","18-Jan-2022","        161.50","        162.75","        175.40","        157.05","        162.50","        162.15","        169.18","     646582","           109387192.05","      17264","     207757","         32.13"
"JINDRILL","EQ","19-Jan-2022","        162.15","        164.90","        176.70","        162.35","        167.25","        166.45","        170.37","     579842","            98786060.75","      15054","     165626","         28.56"
"JINDRILL","EQ","20-Jan-2022","        166.45","        168.30","        169.50","        163.20","        163.85","        164.55","        166.44","      87266","            14524777.05","       2616","      38476","         44.09"
